image_index,label,dataset,baseline_mse,baseline_psnr,baseline_ssim,model_mse,model_psnr,model_ssim
490,6,Gaussian Blur,0.017329656702847772,17.612100404906762,0.8244948691719357,0.036577820838772125,14.367821716285246,0.7161605277983177
491,6,Gaussian Blur,0.012008057785788149,19.205272308257,0.7732051919212819,0.021480396222341946,16.67957712004621,0.7089487107603769
492,9,Gaussian Blur,0.012289385987920242,19.104698151379186,0.7894649805623677,0.02209457786351578,16.557142916032518,0.7680544407790348
493,2,Gaussian Blur,0.01535657353067931,18.137056764088996,0.7943644180503289,0.02298145501421939,16.38622478491841,0.7834209754517104
494,0,Gaussian Blur,0.019565982516380226,17.0849833888374,0.8279170280007981,0.02400953177159524,16.196163093721804,0.8258210773134163
495,1,Gaussian Blur,0.007422988499587586,21.2942121229785,0.8349242525130979,0.007988433324558621,20.975383852935124,0.8381499172547411
496,0,Gaussian Blur,0.0154617331029303,18.10741827697519,0.8579583285686544,0.019005249840672908,17.21126416841598,0.8513914104549795
497,8,Gaussian Blur,0.010878115694414868,19.63446326548723,0.8317239616047861,0.021000308057472345,16.777743344718395,0.7277447060547578
498,1,Gaussian Blur,0.006619373002449187,21.791831456769913,0.8431506372446353,0.00901861524882464,20.448601405025926,0.842075101439307
499,9,Gaussian Blur,0.014710020694710304,18.323867162872784,0.7786256541949037,0.03108915847327927,15.0739103335589,0.7102039069232046
400,7,Salt & Pepper,0.04852817589558629,13.140060328835585,0.5410433985459616,0.014800934787166762,18.297108548693718,0.7562202970248556
401,8,Salt & Pepper,0.050038564516833715,13.006951576388918,0.5059925518682141,0.032244407084722794,14.915456045291076,0.6456583780251735
402,2,Salt & Pepper,0.03268632936790383,14.856338473844755,0.7032035366406713,0.019794100905938194,17.03464220128381,0.7836361060620503
403,7,Salt & Pepper,0.05334567165631556,12.729008124538728,0.5812280331806456,0.02605098924801366,15.841757803569221,0.7217392281088751
404,6,Salt & Pepper,0.038447065138511156,14.151368065204608,0.5811135086096008,0.016602742688683853,17.79820162793025,0.7954075464997604
405,0,Salt & Pepper,0.04237730384195856,13.728666777292284,0.6859108751434059,0.028596836621405802,15.436820058168212,0.7584986174482113
406,7,Salt & Pepper,0.04302446463516846,13.662845250082745,0.6142775951572373,0.013949950448332952,18.554273350465692,0.7470008450520503
407,1,Salt & Pepper,0.046418233925556926,13.333113871669608,0.3693112369827201,0.012134456736557915,19.159796623972717,0.703302212888754
408,0,Salt & Pepper,0.04702216200486312,13.276974065765426,0.8207228665061276,0.02361425868724676,16.26825683502121,0.8403307782633492
409,9,Salt & Pepper,0.05750788555249901,12.402726002298463,0.38450857767120883,0.020422491731884703,16.89891271093899,0.5715290182620396
410,1,Salt & Pepper,0.0632995747424519,11.985992076386783,0.42328294184849435,0.009757481829268975,20.1066224880465,0.724381217647495
411,6,Salt & Pepper,0.04703822717038311,13.275490548024278,0.7030714098416284,0.021631930282804156,16.64904725416816,0.7748011624136363
412,0,Salt & Pepper,0.05000602205530536,13.009776919059025,0.7309098542242657,0.022661309302187436,16.44715001520804,0.757962732851697
413,7,Salt & Pepper,0.05323990383322321,12.737627376590119,0.5382388918021954,0.021771587917854107,16.621098943942677,0.6449272744164326
414,6,Salt & Pepper,0.040001510446186245,13.979236095205636,0.516997831755642,0.01830597608984637,17.374071092226416,0.6811624052208426
415,9,Salt & Pepper,0.05367256710601132,12.702476323389577,0.5276598051113661,0.025499182195451598,15.934737479463594,0.6868027284762777
